"","PERMNO","YEAR","RET","ret"
"413",10036,1989,-1.24999937467507e-06,-1.24999937467507e-06
"414",10036,1990,0.666667,0.666667
"415",10036,1991,0,0
"416",10037,1986,-0.249998200043551,-0.249998200043551
"417",10037,1987,-0.422222554272008,-0.422222554272008
"418",10037,1988,0.0769210102174842,0.0769210102174842
"419",10037,1989,-0.0357134985595614,-0.0357134985595614
"420",10037,1990,-0.592593540992864,-0.592593540992864
"421",10037,1991,1.45453544144598,1.45453544144598
"422",10037,1992,0.268145373583195,0.268145373583195
"423",10037,1993,0.137518505172959,0.137518505172959
"424",10037,1994,0.0741849451336036,0.0741849451336036
"425",10037,1995,0.604423225482281,0.604423225482281
"426",10037,1996,-0.0308498531436187,-0.0308498531436187
"427",10037,1997,0.636645601574409,0.636645601574409
"428",10037,1998,-0.356236470262872,-0.356236470262872
"429",10037,1999,-0.0942379113413535,-0.0942379113413535
"430",10037,2000,0.256618488081342,0.256618488081342
"431",10037,2001,0.543553192919395,0.543553192919395
"432",10037,2002,0.0547854286162184,0.0547854286162184
"433",10037,2003,0.203093935776433,0.203093935776433
"434",10037,2004,-0.0614990245036036,-0.0614990245036036
"435",10038,1986,0.00854732775432421,0.00854732775432421
"436",10038,1987,-0.135596430301875,-0.135596430301875
"437",10038,1988,-0.333338633587339,-0.333338633587339
"438",10038,1989,-0.499997735614887,-0.499997735614887
"439",10038,1990,-0.205881439795299,-0.205881439795299
"440",10038,1991,0.037037,0.037037
"441",10039,1986,-0.0124968607368631,-0.0124968607368631
"442",10039,1987,-0.721519347297584,-0.721519347297584
"443",10039,1988,0.0454547886822696,0.0454547886822696
"444",10039,1989,-0.108695239711997,-0.108695239711997
"445",10039,1990,-0.0243879086700708,-0.0243879086700708
"446",10039,1991,0.149999525040784,0.149999525040784
"447",10039,1992,0.217393530405712,0.217393530405712
"448",10039,1993,3.14287714408819,3.14287714408819
"449",10039,1994,-0.551722658040513,-0.551722658040513
"450",10039,1995,-0.076921797394423,-0.076921797394423
"451",10039,1996,0.177085305805699,0.177085305805699
"452",10039,1997,0.415928015589618,0.415928015589618
"453",10039,1998,0.800005098919722,0.800005098919722
"454",10039,1999,1.99999926007962,1.99999926007962
"455",10039,2000,-0.259258652842745,-0.259258652842745
"456",10039,2001,-0.986000057509214,-0.986000057509214
"457",10040,1986,0.107166229944834,0.107166229944834
"458",10040,1987,-0.773706708629973,-0.773706708629973
"459",10040,1988,-0.31817897679227,-0.31817897679227
"460",10040,1989,-0.466666218132339,-0.466666218132339
"461",10041,1986,-0.568181122279328,-0.568181122279328
